Country,State,Zip,City,Tax Rate,Tax Name,Priority,Compound,Shipping,Tax Class
US,CA,90001-90039,*,9,CA Sales,1,1,1,standard
US,CA,90040-90040,*,9.5,CA Sales,1,1,1,standard
US,CA,90041-90224,*,9,CA Sales,1,1,1,standard
US,CA,90230-90233,*,9.5,CA Sales,1,1,1,standard
US,CA,90239-90278,*,9,CA Sales,1,1,1,standard
US,CA,90280-90280,*,10,CA Sales,1,1,1,standard
US,CA,90290-90296,*,9,CA Sales,1,1,1,standard
US,CA,90301-90303,*,9.5,CA Sales,1,1,1,standard
US,CA,90304-90304,*,9,CA Sales,1,1,1,standard
US,CA,90305-90311,*,9.5,CA Sales,1,1,1,standard
US,CA,90312-90312,*,9,CA Sales,1,1,1,standard
US,CA,90401-90411,*,9.5,CA Sales,1,1,1,standard
US,CA,90501-90610,*,9,CA Sales,1,1,1,standard
US,CA,90620-90630,*,8,CA Sales,1,1,1,standard
US,CA,90631-90633,*,8.5,CA Sales,1,1,1,standard
US,CA,90637-90639,*,10,CA Sales,1,1,1,standard
US,CA,90640-90652,*,9,CA Sales,1,1,1,standard
US,CA,90660-90662,*,10,CA Sales,1,1,1,standard
US,CA,90670-90671,*,9,CA Sales,1,1,1,standard
US,CA,90680-90680,*,8,CA Sales,1,1,1,standard
US,CA,90701-90703,*,9,CA Sales,1,1,1,standard
US,CA,90704-90704,*,9.5,CA Sales,1,1,1,standard
US,CA,90706-90717,*,9,CA Sales,1,1,1,standard
US,CA,90720-90721,*,8,CA Sales,1,1,1,standard
US,CA,90723-90734,*,9,CA Sales,1,1,1,standard
US,CA,90740-90743,*,8,CA Sales,1,1,1,standard
US,CA,90744-91316,*,9,CA Sales,1,1,1,standard
US,CA,91319-91320,*,7.5,CA Sales,1,1,1,standard
US,CA,91321-91357,*,9,CA Sales,1,1,1,standard
US,CA,91358-91362,*,7.5,CA Sales,1,1,1,standard
US,CA,91364-91376,*,9,CA Sales,1,1,1,standard
US,CA,91377-91377,*,7.5,CA Sales,1,1,1,standard
US,CA,91380-91618,*,9,CA Sales,1,1,1,standard
US,CA,91701-91701,*,8,CA Sales,1,1,1,standard
US,CA,91702-91706,*,9,CA Sales,1,1,1,standard
US,CA,91708-91710,*,8,CA Sales,1,1,1,standard
US,CA,91711-91724,*,9,CA Sales,1,1,1,standard
US,CA,91729-91730,*,8,CA Sales,1,1,1,standard
US,CA,91731-91735,*,9.5,CA Sales,1,1,1,standard
US,CA,91737-91739,*,8,CA Sales,1,1,1,standard
US,CA,91740-91741,*,9,CA Sales,1,1,1,standard
US,CA,91743-91743,*,8,CA Sales,1,1,1,standard
US,CA,91744-91750,*,9,CA Sales,1,1,1,standard
US,CA,91752-91752,*,8,CA Sales,1,1,1,standard
US,CA,91754-91756,*,9,CA Sales,1,1,1,standard
US,CA,91758-91762,*,8,CA Sales,1,1,1,standard
US,CA,91763-91763,*,8.25,CA Sales,1,1,1,standard
US,CA,91764-91764,*,8,CA Sales,1,1,1,standard
US,CA,91765-91780,*,9,CA Sales,1,1,1,standard
US,CA,91784-91786,*,8,CA Sales,1,1,1,standard
US,CA,91788-91899,*,9,CA Sales,1,1,1,standard
US,CA,91901-91935,*,8,CA Sales,1,1,1,standard
US,CA,91941-91943,*,8.75,CA Sales,1,1,1,standard
US,CA,91944-91948,*,8,CA Sales,1,1,1,standard
US,CA,91950-91951,*,9,CA Sales,1,1,1,standard
US,CA,91962-92019,*,8,CA Sales,1,1,1,standard
US,CA,92020-92020,*,9,CA Sales,1,1,1,standard
US,CA,92021-92021,*,8,CA Sales,1,1,1,standard
US,CA,92022-92022,*,9,CA Sales,1,1,1,standard
US,CA,92023-92079,*,8,CA Sales,1,1,1,standard
US,CA,92081-92081,*,8.5,CA Sales,1,1,1,standard
US,CA,92082-92082,*,8,CA Sales,1,1,1,standard
US,CA,92083-92085,*,8.5,CA Sales,1,1,1,standard
US,CA,92086-92230,*,8,CA Sales,1,1,1,standard
US,CA,92231-92232,*,8.5,CA Sales,1,1,1,standard
US,CA,92233-92233,*,8,CA Sales,1,1,1,standard
US,CA,92234-92235,*,9,CA Sales,1,1,1,standard
US,CA,92236-92261,*,8,CA Sales,1,1,1,standard
US,CA,92262-92264,*,9,CA Sales,1,1,1,standard
US,CA,92266-92399,*,8,CA Sales,1,1,1,standard
US,CA,92401-92403,*,8.25,CA Sales,1,1,1,standard
US,CA,92404-92404,*,8,CA Sales,1,1,1,standard
US,CA,92405-92406,*,8.25,CA Sales,1,1,1,standard
US,CA,92407-92407,*,8,CA Sales,1,1,1,standard
US,CA,92408-92423,*,8.25,CA Sales,1,1,1,standard
US,CA,92427-92899,*,8,CA Sales,1,1,1,standard
US,CA,93001-93012,*,7.5,CA Sales,1,1,1,standard
US,CA,93013-93014,*,8,CA Sales,1,1,1,standard
US,CA,93015-93024,*,7.5,CA Sales,1,1,1,standard
US,CA,93030-93036,*,8,CA Sales,1,1,1,standard
US,CA,93040-93040,*,7.5,CA Sales,1,1,1,standard
US,CA,93041-93041,*,8,CA Sales,1,1,1,standard
US,CA,93042-93042,*,7.5,CA Sales,1,1,1,standard
US,CA,93043-93044,*,8,CA Sales,1,1,1,standard
US,CA,93060-93066,*,7.5,CA Sales,1,1,1,standard
US,CA,93067-93067,*,8,CA Sales,1,1,1,standard
US,CA,93094-93099,*,7.5,CA Sales,1,1,1,standard
US,CA,93101-93201,*,8,CA Sales,1,1,1,standard
US,CA,93202-93202,*,7.5,CA Sales,1,1,1,standard
US,CA,93203-93203,*,8.5,CA Sales,1,1,1,standard
US,CA,93204-93206,*,7.5,CA Sales,1,1,1,standard
US,CA,93207-93208,*,8,CA Sales,1,1,1,standard
US,CA,93210-93210,*,8.225,CA Sales,1,1,1,standard
US,CA,93212-93212,*,7.5,CA Sales,1,1,1,standard
US,CA,93215-93216,*,8.5,CA Sales,1,1,1,standard
US,CA,93218-93219,*,8,CA Sales,1,1,1,standard
US,CA,93220-93220,*,7.5,CA Sales,1,1,1,standard
US,CA,93221-93221,*,8,CA Sales,1,1,1,standard
US,CA,93222-93222,*,7.5,CA Sales,1,1,1,standard
US,CA,93223-93223,*,8.5,CA Sales,1,1,1,standard
US,CA,93224-93226,*,7.5,CA Sales,1,1,1,standard
US,CA,93227-93227,*,8,CA Sales,1,1,1,standard
US,CA,93230-93232,*,7.5,CA Sales,1,1,1,standard
US,CA,93234-93234,*,8.225,CA Sales,1,1,1,standard
US,CA,93235-93237,*,8,CA Sales,1,1,1,standard
US,CA,93238-93241,*,7.5,CA Sales,1,1,1,standard
US,CA,93242-93242,*,8.225,CA Sales,1,1,1,standard
US,CA,93243-93243,*,7.5,CA Sales,1,1,1,standard
US,CA,93244-93244,*,8,CA Sales,1,1,1,standard
US,CA,93245-93246,*,7.5,CA Sales,1,1,1,standard
US,CA,93247-93247,*,8,CA Sales,1,1,1,standard
US,CA,93249-93252,*,7.5,CA Sales,1,1,1,standard
US,CA,93254-93254,*,8,CA Sales,1,1,1,standard
US,CA,93255-93255,*,7.5,CA Sales,1,1,1,standard
US,CA,93256-93256,*,8,CA Sales,1,1,1,standard
US,CA,93257-93258,*,8.5,CA Sales,1,1,1,standard
US,CA,93260-93262,*,8,CA Sales,1,1,1,standard
US,CA,93263-93263,*,7.5,CA Sales,1,1,1,standard
US,CA,93265-93265,*,8,CA Sales,1,1,1,standard
US,CA,93266-93266,*,7.5,CA Sales,1,1,1,standard
US,CA,93267-93267,*,8,CA Sales,1,1,1,standard
US,CA,93268-93268,*,7.5,CA Sales,1,1,1,standard
US,CA,93270-93272,*,8,CA Sales,1,1,1,standard
US,CA,93274-93275,*,8.5,CA Sales,1,1,1,standard
US,CA,93276-93276,*,7.5,CA Sales,1,1,1,standard
US,CA,93277-93279,*,8.25,CA Sales,1,1,1,standard
US,CA,93280-93280,*,7.5,CA Sales,1,1,1,standard
US,CA,93282-93282,*,8,CA Sales,1,1,1,standard
US,CA,93283-93285,*,7.5,CA Sales,1,1,1,standard
US,CA,93286-93286,*,8,CA Sales,1,1,1,standard
