Category,Name,Description,Price,SKU
Soaps,Almond Cocoa Butter Soap,"A perfect soap for sensitive skin, pure organic cocoa butter creates a protective layer that holds moisture to the skin for extra softening. With almond essential oil and peru balsam for helping chapped or damaged skin. It has a marzipan scent few can resist.",$6.95 ,1
Soaps,Amore Soap,"Use for dry skin and possibly inciting romance! Vitamin and enzyme rich hemp seed oil, the essential oils of patchouli for anti-stress and romance, ylang ylang for irritated skin and emotions and oakmoss.",$6.95 ,2
Soaps,Chaparral Puppy Soap,"Use: To repel fleas and ticks, soothe hot spots and give a silky coat. This rich 50% olive oil soap not only soothes and moisturizes your pets skin but safely repels insects with a blend of essential oils including lavender, peppermint, lemon and eucalyptus.",$6.95 ,3
Soaps,Cocoa Merlot Soap,"Two strong anti-oxidents for the skin, wine and chocolate can reduce wrinkles and has helped with keratosis pilaris (dots that are raised usually on the upper arms also known as ""chicken-skin""). A wonderful soap for dry or normal skin. It has a chocolate covered cherry scent.",$6.95 ,4
Soaps,Exotic Spice Soap,A rich blend of frankincense and myrrh with a cardamon infusion this soap is quite exotic and excellent for eczema or dry and normal skin. Frankincense and myrrh have been used to stimulate meditation and increase breathing. Our Exotic Body Oil has an identical scent.,$6.95 ,5
Soaps,Gift of Ghana Soap,"An exceptionally rich blend of organic shea butter acquired from a womens cooperative in Ghana, mango butter, cocoa butter, wheat germ oil, and powdered oatmeal work together with a calendula infusion to soothe the driest and most sensitive skin. Great baby soap. Unscented.",$6.95 ,6
Soaps,Glacier and Granite Soap,"With powdered charcoal, it quickly draws toxins and dirt from the surface and pores of the skin. It has organic cocoa butter for fabulous moisturizing that will protect your skin, and anise and peppermint to help energize your mood. We recommend this soap for dry and normal skin but we do not recommend this for acne sufferers.",$6.95 ,7
Soaps,Kaizen Soap,"This soap is an excellent choice for irritated or damaged skin, it has green tea and kelp along with essential oils that remind us of licorice. Physicians have prescribed this soap for pre-cancerous skin lesions, eczema and psoriasis. Customers who have itching problems tell us it works for that as well. Because it is so popular, sometimes it's hard to keep up with demand.",$6.95 ,8
Soaps,Lavender Chocolate Soap,"An intoxicating scent of therapeutic lavender and rich chocolate for it's anti-oxident qualities, an excellent face and body soap that will enrich the skin, help calm the mind and is good for all types of skin.",$6.95 ,9
Soaps,Lavender Rosemary Soap,"Another soap prescribed by physicians, this soap has helped with acne and controlling oily skin. Often used with our Tea Tree Plus Soap, the two soaps make up two thirds of our ACNE ACTION TRIO. The rosemary and lavender scent is very popular with just about everyone, and it's color varies from deep purple to light mauve naturally.",$6.95 ,10
Soaps,Lavender Silk Soap,"Especially formulated for experienced skin, this soap has also been prescribed by physicians for rosacea. With vitamin E, ultra fine French pink clay and organic honey, this soap works to create soft, radiant skin.",$6.95 ,11
Soaps,Orange Delight Soap,"Use: For oily skin and anti-stress. Sweet orange for soft, supple, non-oily skin with cinnamon leaf and spruce essential oils to ease stress and resist bacteria. Organic orange on the back.",$6.95 ,12
Soaps,Rose Petal Honey Soap,"Be rose petal soft with this finely crafted soap of shea and cocoa butters blended with REAL rose petals, honey, pink clay and infused with the essential oils of rosewood, rose geranium, and the trademark oils in our Lavender Rose Moisturizing Spray",$6.95 ,13
Soaps,Tango Soap,Use: For normal/combination skin. A creamy white soap with a beautiful swirl of black tea with cinnamon leaf and peru balsam essential oils will leave your skin smooth and supple,$6.95 ,14
Soaps,Tea Tree Plus Soap,"With espresso for odor absorbtion (even garlic & onion), tea tree for its antibacterial and antiseptic qualities, lavender for healing and lemongrass for skin toning and scent.",$6.95 ,15
Soaps,Triple Cool Mint Soap,"The perfect soap to wake in the morning or deodorize you at night. The cooling effect of the mint essential oils is like air-conditioning in a bar! And the hemp seed oil leaves you baby soft. Peppermint,spearmint & eucalyptus with mint leaves on back.",$6.95 ,16
Massage Oils,Evening Glow Body Oil,"Apricot kernel, jojoba and grapeseed oils with soothing ylang ylang, grapefruit and rose geranium to restore your skin’s natural balance and pepper for increased circulation. Makes a great massage oil! Combine with ourEvening Glow soap and our Merlot Glow Wine Polish for increased effect.","4oz: 14.00, 8oz: 26.00",17
Massage Oils,Hypnotic Massage Oil,Bring luxury into everyday! Envelop yourself or someone you love in the hypnotic scents of lavender and clary sage. Handcrafted in a blend of sweet almond and organic jojoba oils. Use daily after showering as a moisturizer or as a relaxing massage.,"4oz: 14.00, 8oz: 26.00",18
